country_name,country_code,indicator_name,indicator_code, debt 
India,IND,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 6,997,605,744.00 "
Indonesia,IDN,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 5,702,582,019.00 "
Indonesia,IDN,"PPG, official creditors (DIS, current US$)",yes," 3,503,677,321.00 "
Indonesia,,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 1,038,590,196.00 "
"Iran, Islamic Rep.",,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 96,860,108.80 "
"Iran, Islamic Rep.",IRN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 15,532,511.70 "
Jamaica,JAM,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,
Jamaica,JAM,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 188,717,385.70 "
Jamaica,JAM,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 83,853,293.00 "
Jordan,JOR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 500,703,182.70 "
Jordan,JOR,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 470,262,359.30 "
,JOR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 146,874,789.60 "
Kazakhstan,KAZ,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 1,124,733,386.00 "
Kazakhstan,KAZ,"PPG, official creditors (DIS, current US$)",yes," 874,231,247.00 "
Kazakhstan,KAZ,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 217,076,397.90 "
Kenya,KEN,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Kenya,KEN,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 509,626,835.70 "
Kosovo,XKX,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 38,763,349.80 "
Kosovo,XKX,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 115,599,658.50 "
Kosovo,XKX,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 9,349,395.00 "
Kyrgyz Republic,KGZ,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,
Kyrgyz Republic,KGZ,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 837,442,293.40 "
Kyrgyz Republic,KGZ,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 82,417,992.60 "
Lao PDR,LAO,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 427,546,056.80 "
Lao PDR,LAO,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD," 1,097,399,289.00 "
Lao PDR,LAO,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 160,862,324.10 "
Least developed countries: UN classification,LDC,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD," 17,028,978,561.00 "
Least developed countries: UN classification,LDC,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,
Least developed countries: UN classification,LDC,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD," 4,426,494,529.00 "
